Rank,Film,Gross,Year
1,Avatar,2923706026.0,2009
2,Avengers: Endgame,2797501328.0,2019
3,Avatar: he Way of Water,2320250281.0,2022
4,itanic,2257844554.0,1997
5,Ne Zha 2,2198880000.0,2025
6,tar Wars: he Force Awakens,2068223624.0,2015
7,Avengers: Infinity War,2048359754.0,2018
8,pider-an: No Way Home,1922598800.0,2021
9,Inside Out 2,1698863816.0,2024
10,Jurassic World,1671537444.0,2015
11,he Lion King,1656943394.0,2019
12,he Avengers,1518815515.0,2012
13,Furious 7,1515341399.0,2015
14,op Gun: averick,1495696292.0,2022
15,Frozen 2,1450026933.0,2019
16,Barbie,1447038421.0,2023
17,Avengers: Age of Ultron,1402809540.0,2015
18,he uper ario Bros. ovie,1360847665.0,2023
19,Black Panther,1347280838.0,2018
20,Harry Potter and the Deathly Hallows – Part 2,1342139727.0,2011
21,Deadpool & Wolverine,1338073645.0,2024
22,tar Wars: he Last Jedi,1332539889.0,2017
23,Jurassic World: Fallen Kingdom,1308473425.0,2018
24,Frozen,1290000000.0,2013
25,Beauty and the Beast,1263521126.0,2017
26,Incredibles 2,1242805359.0,2018
27,he Fate of the Furious,81238764765.0,2017
28,Iron an 3,1214811252.0,2013
29,inions,1159444662.0,2015
30,Captain America: Civil War,1153337496.0,2016
31,Aquaman,1148528393.0,2018
32,he Lord of the Rings: he Return of the King,1147997407.0,2003
33,pider-an: Far From Home,1132679685.0,2019
34,Captain arvel,1128274794.0,2019
35,ransformers: Dark of the oon,1123794079.0,2011
36,kyfall,1108594137.0,2012
37,ransformers: Age of Extinction,1104054072.0,2014
38,he Dark Knight Rises,1081169825.0,2012
39,Joker,1074458282.0,2019
40,tar Wars: he Rise of kywalker,1074144248.0,2019
41,oy tory 4,1073394593.0,2019
42,oy tory 3,1066970811.0,2010
43,Pirates of the Caribbean: Dead an's Chest,1066179747.0,2006
44,oana 2,1059242164.0,2024
45,Rogue One: A tar Wars tory,1057420387.0,2016
46,Aladdin,1050693953.0,2019
47,tar Wars: Episode I – he Phantom enace,1046515409.0,1999
48,Pirates of the Caribbean: On tranger ides,1045713802.0,2011
49,Jurassic Park,1037535230.0,1993
50,Despicable e 3,1034800131.0,2017
